"cluster_id","anchor_key","k","n_total","studies_in_cluster","canonical_name","contrast_entity","contrast_direction","contrast_control_key","contrast_entity_source","entita_canonica","fonte_risoluzione","fiducia"
"cgroup_L5_000fb61e","HGNC:11110||gain||non targeting",1,4,"GSE147283","RRAGA","HGNC:11110","gain","non targeting","onto","HGNC:11110","GIA_CANONICO","nessuna"
"cgroup_L5_001ec9c9","HGNC:11766||gain||hours+vehicle_untreated",1,4,"GSE269066","Transforming growth factor beta","HGNC:11766","gain","hours+vehicle_untreated","onto","HGNC:11766","GIA_CANONICO","nessuna"
"cgroup_L5_0031bf25","NCBITaxon:6603||gain||cardiac fibroblast ipsc cm ratio+vehicle_untreated",1,4,"GSE230201",NA,"NCBITaxon:6603","gain","cardiac fibroblast ipsc cm ratio+vehicle_untreated","onto","NCBITaxon:6603","GIA_CANONICO","nessuna"
"cgroup_L5_003480d2","STR:niid||gain||vehicle_untreated",1,6,"GSE182878",NA,"STR:niid","gain","vehicle_untreated","STR","STR:niid","STR_NON_TOCCATO","nessuna"
"cgroup_L5_003a0f4d","CHEBI:232354||gain||vehicle_untreated",1,6,"GSE114708","UK-5099","CHEBI:232354","gain","vehicle_untreated","anchor","CHEBI:232354","GIA_CANONICO","nessuna"
"cgroup_L5_003f1635","HGNC:11769||gain||ctrl",1,11,"GSE152250",NA,"HGNC:11769","gain","ctrl","onto","HGNC:11769","GIA_CANONICO","nessuna"
"cgroup_L5_0042b082","MeSH:D001172||gain||osteoarthritis",1,4,"GSE217012","Respiratory Therapy","MeSH:D001172","gain","osteoarthritis","onto","MeSH:D001172","GIA_CANONICO","nessuna"
"cgroup_L5_00434c23","STR:hpv16_wt||gain||vehicle_untreated",1,10,"GSE137964","human papillomavirus type 16","STR:hpv16_wt","gain","vehicle_untreated","STR","STR:hpv16_wt","STR_NON_TOCCATO","nessuna"
"cgroup_L5_00464977","STR:sisrsf1||gain||sintc",1,9,"GSE229657",NA,"STR:sisrsf1","gain","sintc","STR","STR:sisrsf1","STR_NON_TOCCATO","nessuna"
"cgroup_L5_004cf872","STR:hoxc8_flag||gain||vehicle_untreated",1,2,"GSE133780","HOXB6","STR:hoxc8_flag","gain","vehicle_untreated","STR","STR:hoxc8_flag","STR_NON_TOCCATO","nessuna"
"cgroup_L5_004d293d","CHEBI:49603||gain||vehicle_untreated",9,427,"GSE114575;GSE114686;GSE132055;GSE146096;GSE186341;GSE217421;GSE217898;GSE237413;GSE89127","erythritol","CHEBI:49603","gain","vehicle_untreated","onto","CHEBI:49603","GIA_CANONICO","nessuna"
"cgroup_L5_004fb7a2","STR:dlbcl||gain||vehicle_untreated",1,7,"GSE179689","Diosgenin","STR:dlbcl","gain","vehicle_untreated","STR","STR:dlbcl","STR_NON_TOCCATO","nessuna"
"cgroup_L5_00594a45","STR:six1_shrna||block||control shrna",1,2,"GSE93925","KCNQ3","STR:six1_shrna","block","control shrna","STR","STR:six1_shrna","STR_NON_TOCCATO","nessuna"
"cgroup_L5_005e8a60","STR:col6rd_1||gain||vehicle_untreated",1,8,"GSE103608","SPARCL1","STR:col6rd_1","gain","vehicle_untreated","STR","STR:col6rd_1","STR_NON_TOCCATO","nessuna"
"cgroup_L5_006274e9","CHEBI:85928||gain||vehicle_untreated",1,19,"GSE184427","(<i>E</i>)-3-tosylacrylonitrile","CHEBI:85928","gain","vehicle_untreated","onto","CHEBI:85928","GIA_CANONICO","nessuna"
"cgroup_L5_0065d88b","STR:anti_tnf||block||vehicle_untreated_ownbase",1,25,"GSE141646","ibuprofen","STR:anti_tnf","block","vehicle_untreated_ownbase","STR","STR:anti_tnf","STR_NON_TOCCATO","nessuna"
"cgroup_L5_006ad7a3","HGNC:9005||block||vehicle_untreated",1,5,"GSE247890","TFPI","HGNC:9005","block","vehicle_untreated","onto","HGNC:9005","GIA_CANONICO","nessuna"
"cgroup_L5_006c2bb9","STR:ripk1_cleavage_site_p_d324y||gain||vehicle_untreated",1,4,"GSE127572","RIPK1","STR:ripk1_cleavage_site_p_d324y","gain","vehicle_untreated","STR","STR:ripk1_cleavage_site_p_d324y","STR_NON_TOCCATO","nessuna"
"cgroup_L5_006e5263","STR:user_1_user_1||gain||non user",1,24,"GSE124326","nitrosobenzene","STR:user_1_user_1","gain","non user","STR","STR:user_1_user_1","STR_NON_TOCCATO","nessuna"
"cgroup_L5_007a5f78","STR:canyon_deletion||gain||wild type",1,12,"GSE107149","RUNX1","STR:canyon_deletion","gain","wild type","STR","STR:canyon_deletion","STR_NON_TOCCATO","nessuna"
"cgroup_L5_007aba08","STR:siddx24_1||gain||sicontrol",1,2,"GSE229910","DDX24","STR:siddx24_1","gain","sicontrol","STR","STR:siddx24_1","STR_NON_TOCCATO","nessuna"
"cgroup_L5_0081a6ef","MeSH:D001471||gain||non tumor",1,12,"GSE234304","Barrett's esophagus","MeSH:D001471","gain","non tumor","onto","MeSH:D001471","GIA_CANONICO","nessuna"
"cgroup_L5_008d261e","STR:dcas9_vp64_fus_fusion_protein_teto_grna||gain||dcas vp fus fusion protein and scrambled grna",1,4,"GSE248523",NA,"STR:dcas9_vp64_fus_fusion_protein_teto_grna","gain","dcas vp fus fusion protein and scrambled grna","STR","STR:dcas9_vp64_fus_fusion_protein_teto_grna","STR_NON_TOCCATO","nessuna"
"cgroup_L5_009138e1","STR:bpap_48||gain||vehicle_untreated",1,2,"GSE211183","2-decenal","STR:bpap_48","gain","vehicle_untreated","STR","STR:bpap_48","STR_NON_TOCCATO","nessuna"
"cgroup_L5_0098255b","STR:adnp_knockdown_week4||block||vehicle_untreated_ownbase",1,5,"GSE235921","ADNP","STR:adnp_knockdown_week4","block","vehicle_untreated_ownbase","STR","STR:adnp_knockdown_week4","STR_NON_TOCCATO","nessuna"
"cgroup_L5_009dbc29","STR:brd4_2_sirna||block||control sirna",1,9,"GSE90444","BRD4","STR:brd4_2_sirna","block","control sirna","STR","STR:brd4_2_sirna","STR_NON_TOCCATO","nessuna"
"cgroup_L5_00acdfe8","STR:nek2_targeting_sirna||block||no targeting control sirna",1,4,"GSE140803","TXN2","STR:nek2_targeting_sirna","block","no targeting control sirna","STR","STR:nek2_targeting_sirna","STR_NON_TOCCATO","nessuna"
"cgroup_L5_00b420de","MeSH:D013167||gain||vehicle_untreated_liquid",1,16,"GSE220130","Spondylitis, Ankylosing","MeSH:D013167","gain","vehicle_untreated_liquid","onto","MeSH:D013167","GIA_CANONICO","nessuna"
"cgroup_L5_00b811c8","STR:ptch1_subpopulation||gain||parental",1,9,"GSE189424","Agammaglobulinemia","STR:ptch1_subpopulation","gain","parental","STR","STR:ptch1_subpopulation","STR_NON_TOCCATO","nessuna"
"cgroup_L5_00bd3aa0","STR:low-frequency strain||loss||vehicle_untreated",1,12,"GSE205196","low-frequency strain","STR:low-frequency strain","loss","vehicle_untreated","anchor","STR:low-frequency strain","STR_NON_TOCCATO","nessuna"
"cgroup_L5_00ca4f74","STR:rec_hgrem1||gain||ctrl serum_liquid",1,5,"GSE200679","GREM1","STR:rec_hgrem1","gain","ctrl serum_liquid","STR","STR:rec_hgrem1","STR_NON_TOCCATO","nessuna"
"cgroup_L5_00ccf704","CHEBI:17115||gain||vehicle_untreated",1,13,"GSE144208","<small>L</small>-serine","CHEBI:17115","gain","vehicle_untreated","anchor","CHEBI:17115","GIA_CANONICO","nessuna"
"cgroup_L5_00d1b23c","COMBO:tgf+tnf||gain||vehicle_untreated",1,5,"GSE229136",NA,"COMBO:tgf+tnf","gain","vehicle_untreated","COMBO","COMBO:tgf+tnf","GIA_CANONICO","nessuna"
"cgroup_L5_00d94f27","STR:pcdna3_1_zeb1||gain||empty pcdna vector plasmid",1,4,"GSE81167","ZEB1","STR:pcdna3_1_zeb1","gain","empty pcdna vector plasmid","STR","STR:pcdna3_1_zeb1","STR_NON_TOCCATO","nessuna"
"cgroup_L5_00e3c6a6","HGNC:48636||gain||vehicle_untreated",1,5,"GSE118077","LINC00942","HGNC:48636","gain","vehicle_untreated","onto","HGNC:48636","GIA_CANONICO","nessuna"
"cgroup_L5_00ef96ea","HGNC:30314||gain||wild type",1,2,"GSE95374","RNA5SP503","HGNC:30314","gain","wild type","onto","HGNC:30314","GIA_CANONICO","nessuna"
"cgroup_L5_00f0cead","STR:siddx23||gain||sicontrol",1,4,"GSE132847","DEAD-box helicase 23","STR:siddx23","gain","sicontrol","STR","STR:siddx23","STR_NON_TOCCATO","nessuna"
"cgroup_L5_00f5f63e","CHEMBL:CHEMBL1568||gain||vehicle_untreated",2,15,"GSE159896;GSE199800","bryotoxin A","CHEMBL:CHEMBL1568","gain","vehicle_untreated","onto","CHEMBL:CHEMBL1568","GIA_CANONICO","nessuna"
"cgroup_L5_00f84e3a","STR:t6733||gain||vehicle_untreated",1,19,"GSE213119","Gilteritinib","STR:t6733","gain","vehicle_untreated","STR","STR:t6733","STR_NON_TOCCATO","nessuna"
"cgroup_L5_00fd9348","CHEBI:8499||gain||vehicle_untreated",3,18,"GSE191165;GSE199800;GSE228234","propranolol","CHEBI:8499","gain","vehicle_untreated","anchor","CHEBI:8499","GIA_CANONICO","nessuna"
"cgroup_L5_0105dfd5","HGNC:7553||block||non targeting control shrna",1,2,"GSE86504","MARS1","HGNC:7553","block","non targeting control shrna","onto","HGNC:7553","GIA_CANONICO","nessuna"
"cgroup_L5_010e70ac","STR:sirna_targeting_larp4b||block||non targeting sicontrol",1,3,"GSE222467","La related protein 4B","STR:sirna_targeting_larp4b","block","non targeting sicontrol","STR","STR:sirna_targeting_larp4b","STR_NON_TOCCATO","nessuna"
"cgroup_L5_011b60b9","MeSH:D003424||gain||adult+vehicle_untreated",1,7,"GSE117875","Corneal Stroma","MeSH:D003424","gain","adult+vehicle_untreated","onto","MeSH:D003424","GIA_CANONICO","nessuna"
"cgroup_L5_011b7f89","STR:p_gingivalis_persisters||gain||vehicle_untreated",1,4,"GSE184777","Porphyromonas gingivalis","STR:p_gingivalis_persisters","gain","vehicle_untreated","STR","STR:p_gingivalis_persisters","STR_NON_TOCCATO","nessuna"
"cgroup_L5_011eb103","COMBO:ifngamma+thz1||gain||vehicle_untreated",1,2,"GSE164902","THZ1","COMBO:ifngamma+thz1","gain","vehicle_untreated","COMBO","COMBO:ifngamma+thz1","GIA_CANONICO","nessuna"
"cgroup_L5_01214ab2","COMBO:gm-csf+ruxolitinib||gain||vehicle_untreated",1,3,"GSE123573","CSF2","COMBO:gm-csf+ruxolitinib","gain","vehicle_untreated","COMBO","COMBO:gm-csf+ruxolitinib","GIA_CANONICO","nessuna"
"cgroup_L5_01243955","STR:w128a||gain||vehicle_untreated",1,5,"GSE251638","doxycycline","STR:w128a","gain","vehicle_untreated","STR","STR:w128a","STR_NON_TOCCATO","nessuna"
"cgroup_L5_01258fcc","STR:rbm39_sirna||block||ctrl sirna",1,6,"GSE202134","RBM39","STR:rbm39_sirna","block","ctrl sirna","STR","STR:rbm39_sirna","STR_NON_TOCCATO","nessuna"
"cgroup_L5_012e70dd","STR:low_inflamed||loss||non inflamed+vehicle_untreated",1,16,"GSE171244","Crohn Disease","STR:low_inflamed","loss","non inflamed+vehicle_untreated","STR","STR:low_inflamed","STR_NON_TOCCATO","nessuna"
"cgroup_L5_01386661","STR:bclxl||gain||vehicle_untreated",1,6,"GSE120081","APOA1","STR:bclxl","gain","vehicle_untreated","STR","STR:bclxl","STR_NON_TOCCATO","nessuna"
"cgroup_L5_013c0b72","STR:siklf5||gain||sinc",1,4,"GSE88977","KLF5","STR:siklf5","gain","sinc","STR","STR:siklf5","STR_NON_TOCCATO","nessuna"
"cgroup_L5_0144bf8d","CHEMBL:CHEMBL2165191||gain||vehicle_untreated",1,40,"GSE225064","AZD-6482","CHEMBL:CHEMBL2165191","gain","vehicle_untreated","anchor","CHEMBL:CHEMBL2165191","GIA_CANONICO","nessuna"
"cgroup_L5_014ac37e","STR:tcf21_knockdown||block||vehicle_untreated",1,16,"GSE150768","TCF21","STR:tcf21_knockdown","block","vehicle_untreated","STR","STR:tcf21_knockdown","STR_NON_TOCCATO","nessuna"
"cgroup_L5_014c7dfb","COMBO:sd targeting grnas+spry-abe8e w app ex 17 sa||gain||vehicle_untreated",1,6,"GSE246587","Middle East respiratory syndrome coronavirus","COMBO:sd targeting grnas+spry-abe8e w app ex 17 sa","gain","vehicle_untreated","COMBO","COMBO:sd targeting grnas+spry-abe8e w app ex 17 sa","GIA_CANONICO","nessuna"
"cgroup_L5_015568fa","STR:intracranial_aneurysm||gain||vehicle_untreated",1,8,"GSE158558",NA,"STR:intracranial_aneurysm","gain","vehicle_untreated","STR","STR:intracranial_aneurysm","STR_NON_TOCCATO","nessuna"
"cgroup_L5_01641264","STR:ifn_a14||gain||vehicle_untreated",1,6,"GSE188637","IFNA14","STR:ifn_a14","gain","vehicle_untreated","STR","STR:ifn_a14","STR_NON_TOCCATO","nessuna"
"cgroup_L5_0165d2bc","STR:hits_2||gain||vehicle_untreated",1,4,"GSE210647","Barrett's esophagus","STR:hits_2","gain","vehicle_untreated","STR","STR:hits_2","STR_NON_TOCCATO","nessuna"
"cgroup_L5_0166f172","COMBO:fel d 1+fel d 1 ige+il-13||gain||vehicle_untreated",1,7,"GSE140900",NA,"COMBO:fel d 1+fel d 1 ige+il-13","gain","vehicle_untreated","COMBO","COMBO:fel d 1+fel d 1 ige+il-13","GIA_CANONICO","nessuna"
"cgroup_L5_0168004c","CHEBI:233309||gain||vehicle_untreated",2,36,"GSE224439;GSE240111","TRR-TCG4-1","CHEBI:233309","gain","vehicle_untreated","onto","CHEBI:233309","GIA_CANONICO","nessuna"
"cgroup_L5_01687a0d","COMBO:cpt-11+lovastatin||gain||vehicle_untreated",1,5,"GSE164730","lovastatin","COMBO:cpt-11+lovastatin","gain","vehicle_untreated","COMBO","COMBO:cpt-11+lovastatin","GIA_CANONICO","nessuna"
"cgroup_L5_0169bdf0","COMBO:mettl3+mut||gain||vehicle_untreated",1,4,"GSE163310","METTL3","COMBO:mettl3+mut","gain","vehicle_untreated","COMBO","COMBO:mettl3+mut","GIA_CANONICO","nessuna"
"cgroup_L5_017467f1","STR:sirna_epas1||block||sirna control",1,6,"GSE62974","EPAS1","STR:sirna_epas1","block","sirna control","STR","STR:sirna_epas1","STR_NON_TOCCATO","nessuna"
"cgroup_L5_017fc9b3","STR:idh_mutant_astrocytoma_grade_3||gain||vehicle_untreated",1,15,"GSE165595",NA,"STR:idh_mutant_astrocytoma_grade_3","gain","vehicle_untreated","STR","STR:idh_mutant_astrocytoma_grade_3","STR_NON_TOCCATO","nessuna"
"cgroup_L5_018069c7","HGNC:8117||block||vehicle_untreated",1,4,"GSE107878","HTATIP2","HGNC:8117","block","vehicle_untreated","onto","HGNC:8117","GIA_CANONICO","nessuna"
"cgroup_L5_0185a97d","CHEBI:71272||gain||vehicle_untreated",2,76,"GSE217421;GSE262398","<small>D</small>-cycloserine(1+)","CHEBI:71272","gain","vehicle_untreated","onto","CHEBI:71272","GIA_CANONICO","nessuna"
"cgroup_L5_0185dbb2","STR:rrp40_knockdown||block||vehicle_untreated",1,9,"GSE89123","MANSC1","STR:rrp40_knockdown","block","vehicle_untreated","STR","STR:rrp40_knockdown","STR_NON_TOCCATO","nessuna"
"cgroup_L5_01881c6a","STR:antimir324||gain||ctrl",1,6,"GSE183822","TNF","STR:antimir324","gain","ctrl","STR","STR:antimir324","STR_NON_TOCCATO","nessuna"
"cgroup_L5_018a3254","MeSH:D003093||gain||nc",1,72,"GSE230524","ulcerative colitis","MeSH:D003093","gain","nc","onto","MeSH:D003093","GIA_CANONICO","nessuna"
"cgroup_L5_018b1acc","HGNC:18420||gain||vehicle_untreated",1,2,"GSE86855","SPON1","HGNC:18420","gain","vehicle_untreated","onto","HGNC:18420","GIA_CANONICO","nessuna"
"cgroup_L5_018c9be2","STR:h1n1_tg||gain||uninfected tg",1,5,"GSE120730","h1n1 tg","STR:h1n1_tg","gain","uninfected tg","STR","STR:h1n1_tg","STR_NON_TOCCATO","nessuna"
"cgroup_L5_018d2382","STR:prmt5_shrna||block||empty vector transfection",1,6,"GSE168745","protein arginine methyltransferase 5","STR:prmt5_shrna","block","empty vector transfection","STR","STR:prmt5_shrna","STR_NON_TOCCATO","nessuna"
"cgroup_L5_018d69bf","STR:disease_model||gain||case",1,47,"GSE213857","tumor","STR:disease_model","gain","case","STR","STR:disease_model","STR_NON_TOCCATO","nessuna"
"cgroup_L5_0198ad5f","MeSH:D010634||gain||triple negative breast cancer",1,6,"GSE163951","luminal breastâ cancer","MeSH:D010634","gain","triple negative breast cancer","onto","MeSH:D010634","GIA_CANONICO","nessuna"
"cgroup_L5_019dc93f","NCBITaxon:1773||gain||vaccination only",1,3,"GSE190850","m.tb","NCBITaxon:1773","gain","vaccination only","onto","NCBITaxon:1773","GIA_CANONICO","nessuna"
"cgroup_L5_01b0463b","STR:anti_pabpc1_antibody_genetic_knockdown||block||input+vehicle_untreated",1,2,"GSE231786","PABPC1","STR:anti_pabpc1_antibody_genetic_knockdown","block","input+vehicle_untreated","STR","STR:anti_pabpc1_antibody_genetic_knockdown","STR_NON_TOCCATO","nessuna"
"cgroup_L5_01c6bb47","STR:crispr_corrected||block||vehicle_untreated",1,3,"GSE202206",NA,"STR:crispr_corrected","block","vehicle_untreated","STR","STR:crispr_corrected","STR_NON_TOCCATO","nessuna"
"cgroup_L5_01c93a1c","STR:constitutively_active_rhoc_mutant_q63e||gain||vehicle_untreated",1,6,"GSE129295","RHOC","STR:constitutively_active_rhoc_mutant_q63e","gain","vehicle_untreated","STR","STR:constitutively_active_rhoc_mutant_q63e","STR_NON_TOCCATO","nessuna"
"cgroup_L5_01cb9ceb","STR:r22w||gain||wild type",1,4,"GSE243237","Receptors, Transferrin","STR:r22w","gain","wild type","STR","STR:r22w","STR_NON_TOCCATO","nessuna"
"cgroup_L5_01cde48f","STR:myocardial_infarction_patient_without_cardiac_remodeling||loss||vehicle_untreated",1,12,"GSE194388","myocardial infarction patient without cardiac remodeling","STR:myocardial_infarction_patient_without_cardiac_remodeling","loss","vehicle_untreated","anchor","STR:myocardial_infarction_patient_without_cardiac_remodeling","STR_NON_TOCCATO","nessuna"
"cgroup_L5_01d3f2aa","CHEBI:53806||gain||vehicle_untreated",1,7,"GSE93153","polyinosinic:polycytidylic acid","CHEBI:53806","gain","vehicle_untreated","onto","CHEBI:53806","GIA_CANONICO","nessuna"
"cgroup_L5_01f47d2b","STR:shseptin_2_shrna||block||shcontrol shrna",1,6,"GSE159894","SEPTIN2","STR:shseptin_2_shrna","block","shcontrol shrna","STR","STR:shseptin_2_shrna","STR_NON_TOCCATO","nessuna"
"cgroup_L5_01fadc00","STR:5g_dose_irradiation||gain||sham irradiation",1,2,"GSE193386",NA,"STR:5g_dose_irradiation","gain","sham irradiation","STR","STR:5g_dose_irradiation","STR_NON_TOCCATO","nessuna"
"cgroup_L5_01fba285","STR:sh_linc01614||gain||vehicle_untreated",1,9,"GSE213043","FCF1P2","STR:sh_linc01614","gain","vehicle_untreated","STR","STR:sh_linc01614","STR_NON_TOCCATO","nessuna"
"cgroup_L5_0202b394","STR:gata2_as1||gain||vehicle_untreated",1,2,"GSE229665","GATA2","STR:gata2_as1","gain","vehicle_untreated","STR","STR:gata2_as1","STR_NON_TOCCATO","nessuna"
"cgroup_L5_0207049b","STR:1_gsk2830371||gain||vehicle_untreated",1,10,"GSE179813","gsk2830371 (10um) for 1 hour","STR:1_gsk2830371","gain","vehicle_untreated","STR","STR:1_gsk2830371","STR_NON_TOCCATO","nessuna"
"cgroup_L5_020bfef9","STR:lv_sh_trim28b||gain||lv sh luc",1,4,"GSE81871","TRIM28","STR:lv_sh_trim28b","gain","lv sh luc","STR","STR:lv_sh_trim28b","STR_NON_TOCCATO","nessuna"
"cgroup_L5_020cca5a","STR:ledgin_cx014442||gain||vehicle_untreated",1,3,"GSE135295","N-ethyl-2-[(2R,3R,6S)-3-[(4-fluorophenyl)sulfonylamino]-2-(hydroxymethyl)-3,6-dihydro-2H-pyran-6-yl]acetamide","STR:ledgin_cx014442","gain","vehicle_untreated","STR","STR:ledgin_cx014442","STR_NON_TOCCATO","nessuna"
"cgroup_L5_020db0c7","STR:siku80||gain||sicontrol",1,4,"GSE180581","XRCC5","STR:siku80","gain","sicontrol","STR","STR:siku80","STR_NON_TOCCATO","nessuna"
"cgroup_L5_020dbd0b","STR:p_falciparum_schizonts||gain||vehicle_untreated",1,31,"GSE234970","Plasmodium falciparum","STR:p_falciparum_schizonts","gain","vehicle_untreated","STR","STR:p_falciparum_schizonts","STR_NON_TOCCATO","nessuna"
"cgroup_L5_0219eb74","COMBO:il-15+il-2||gain||vehicle_untreated",1,15,"GSE123320","IL4","COMBO:il-15+il-2","gain","vehicle_untreated","COMBO","COMBO:il-15+il-2","GIA_CANONICO","nessuna"
"cgroup_L5_021e875e","CHEBI:27899||gain||vehicle_untreated",30,327,"GSE101419;GSE119978;GSE133029;GSE139887;GSE145085;GSE146402;GSE157069;GSE158638;GSE158640;GSE161800;GSE163377;GSE165560;GSE165767;GSE173201;GSE180854;GSE195663;GSE198887;GSE206649;GSE209769;GSE213102;GSE215254;GSE216043;GSE223839;GSE235549;GSE235681;GSE235908;GSE241595;GSE241913;GSE249026;GSE264575","2,2',3,4',5,5'-Hexachloro-4-biphenylol","CHEBI:27899","gain","vehicle_untreated","onto","CHEBI:27899","GIA_CANONICO","nessuna"
"cgroup_L5_0222b50e","STR:plasmids||gain||rb",1,12,"GSE237930","plasmids","STR:plasmids","gain","rb","anchor","STR:plasmids","STR_NON_TOCCATO","nessuna"
"cgroup_L5_02252a0d","STR:oncogene||gain||vehicle_untreated",2,10,"GSE130306;GSE55949","Oncogenes","STR:oncogene","gain","vehicle_untreated","STR","STR:oncogene","STR_NON_TOCCATO","nessuna"
"cgroup_L5_022d927e","STR:ploomtech||gain||vehicle_untreated",1,6,"GSE157165","nicotine","STR:ploomtech","gain","vehicle_untreated","STR","STR:ploomtech","STR_NON_TOCCATO","nessuna"
"cgroup_L5_022f32a1","STR:trisomy_7||gain||vehicle_untreated",1,8,"GSE114559",NA,"STR:trisomy_7","gain","vehicle_untreated","STR","STR:trisomy_7","STR_NON_TOCCATO","nessuna"
"cgroup_L5_0238fee2","HGNC:4484||gain||ev",1,7,"GSE173388","NOSTRIN","HGNC:4484","gain","ev","onto","HGNC:4484","GIA_CANONICO","nessuna"
"cgroup_L5_024349fa","MeSH:D018278||gain||vehicle_untreated",1,21,"GSE246925","neuroendocrine carcinoma","MeSH:D018278","gain","vehicle_untreated","onto","MeSH:D018278","GIA_CANONICO","nessuna"
"cgroup_L5_0243e435","STR:reattached_tumor_sphere||gain||vehicle_untreated",1,2,"GSE203506","breast cancer","STR:reattached_tumor_sphere","gain","vehicle_untreated","STR","STR:reattached_tumor_sphere","STR_NON_TOCCATO","nessuna"
"cgroup_L5_0244efa6","STR:bio_2_m||gain||vehicle_untreated",1,10,"GSE48843","Gilteritinib","STR:bio_2_m","gain","vehicle_untreated","STR","STR:bio_2_m","STR_NON_TOCCATO","nessuna"
"cgroup_L5_0245f793","COMBO:ifng+staphylococcus epidermidis||gain||vehicle_untreated",1,4,"GSE173902","Staphylococcus epidermidis","COMBO:ifng+staphylococcus epidermidis","gain","vehicle_untreated","COMBO","COMBO:ifng+staphylococcus epidermidis","GIA_CANONICO","nessuna"
"cgroup_L5_0245fd4d","STR:high_grade_serous_carcinoma||gain||serous borderline tumor",1,6,"GSE181496","ovarian cancer","STR:high_grade_serous_carcinoma","gain","serous borderline tumor","STR","STR:high_grade_serous_carcinoma","STR_NON_TOCCATO","nessuna"
"cgroup_L5_024daba9","STR:siyap1||gain||sinc",1,4,"GSE164880","prostate cancer","STR:siyap1","gain","sinc","STR","STR:siyap1","STR_NON_TOCCATO","nessuna"
"cgroup_L5_025f9d89","COMBO:doxorubicin+r1881||loss||vehicle_untreated",1,8,"GSE137056","doxorubicin","COMBO:doxorubicin+r1881","loss","vehicle_untreated","COMBO","COMBO:doxorubicin+r1881","GIA_CANONICO","nessuna"
"cgroup_L5_0260ef7c","STR:siyap2||gain||siscrambled",1,3,"GSE146918","YAP1","STR:siyap2","gain","siscrambled","STR","STR:siyap2","STR_NON_TOCCATO","nessuna"
"cgroup_L5_026ee5c0","STR:after_third_inf_t6||gain||uninfected+vehicle_untreated_ownbase_clin",1,6,"GSE172450","Plasmodium falciparum","STR:after_third_inf_t6","gain","uninfected+vehicle_untreated_ownbase_clin","STR","STR:after_third_inf_t6","STR_NON_TOCCATO","nessuna"
"cgroup_L5_02745899","STR:keap1_sirna||block||scrambled sirna",1,2,"GSE93895","KEAP1","STR:keap1_sirna","block","scrambled sirna","STR","STR:keap1_sirna","STR_NON_TOCCATO","nessuna"
"cgroup_L5_02779031","COMBO:doxycycline+mycshrna||gain||vehicle_untreated",1,4,"GSE222377","durene","COMBO:doxycycline+mycshrna","gain","vehicle_untreated","COMBO","COMBO:doxycycline+mycshrna","GIA_CANONICO","nessuna"
"cgroup_L5_02812f4f","HGNC:11931||gain||vehicle_untreated",1,4,"GSE129906","Interleukin 12 subunit alpha","HGNC:11931","gain","vehicle_untreated","onto","HGNC:11931","GIA_CANONICO","nessuna"
"cgroup_L5_028530bf","STR:mtr4_knockdown||block||vehicle_untreated",1,6,"GSE89123","MTREX","STR:mtr4_knockdown","block","vehicle_untreated","STR","STR:mtr4_knockdown","STR_NON_TOCCATO","nessuna"
"cgroup_L5_028e75bb","HGNC:3091||block||no genetic perturbation",1,8,"GSE243702",NA,"HGNC:3091","block","no genetic perturbation","onto","HGNC:3091","GIA_CANONICO","nessuna"
"cgroup_L5_029217a2","STR:shrna_mmp14||block||shrna gfp control",1,3,"GSE134597","MMP14","STR:shrna_mmp14","block","shrna gfp control","STR","STR:shrna_mmp14","STR_NON_TOCCATO","nessuna"
"cgroup_L5_02964199","STR:gd6_linc00473_sirna||block||empty vector",1,12,"GSE148896","LINC00473","STR:gd6_linc00473_sirna","block","empty vector","STR","STR:gd6_linc00473_sirna","STR_NON_TOCCATO","nessuna"
"cgroup_L5_0297c0fd","STR:kj_pyr_9_dex||gain||veh",1,7,"GSE224611","kj-pyr-9 + dex","STR:kj_pyr_9_dex","gain","veh","STR","STR:kj_pyr_9_dex","STR_NON_TOCCATO","nessuna"
"cgroup_L5_02999d32","STR:pola1_deficient||block||vehicle_untreated",1,4,"GSE72589",NA,"STR:pola1_deficient","block","vehicle_untreated","STR","STR:pola1_deficient","STR_NON_TOCCATO","nessuna"
"cgroup_L5_029d9308","STR:g_actin_yap_binding_deficient_dpy_mrtfb_mutant||block||empty pmscv hygro vector",1,6,"GSE89182","SNCB","STR:g_actin_yap_binding_deficient_dpy_mrtfb_mutant","block","empty pmscv hygro vector","STR","STR:g_actin_yap_binding_deficient_dpy_mrtfb_mutant","STR_NON_TOCCATO","nessuna"
"cgroup_L5_029e395f","STR:jmml_kras_mutated||gain||jmml ptpn mutated",1,10,"GSE198919","KRAS","STR:jmml_kras_mutated","gain","jmml ptpn mutated","STR","STR:jmml_kras_mutated","STR_NON_TOCCATO","nessuna"
"cgroup_L5_029fb54c","STR:ezhi||gain||vehicle_untreated",1,4,"GSE182625","breast cancer","STR:ezhi","gain","vehicle_untreated","STR","STR:ezhi","STR_NON_TOCCATO","nessuna"
"cgroup_L5_02a6d6b4","STR:live_bacteria||gain||bacteria supernatants",1,9,"GSE234836","Gardnerella vaginalis","STR:live_bacteria","gain","bacteria supernatants","STR","STR:live_bacteria","STR_NON_TOCCATO","nessuna"
"cgroup_L5_02ab7bae","STR:2_4_bpf||gain||vehicle_untreated",1,21,"GSE211183","bisphenol F","STR:2_4_bpf","gain","vehicle_untreated","STR","STR:2_4_bpf","STR_NON_TOCCATO","nessuna"
